Data_Hora;Latitude;Longitude;Velocidade;Position;Placa_Virtual;Trecho;Engate;Delta_T;ACT;PEG
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
44813,74528;-7,92248918;-38,25913973;10,08;380,21;380ZUR;T3;138,5361399;0,465;14,80786796;88,19438049
